,매장명,주소,전화번호
491,다이소충주칠금점,충청북도 충주시,043-854-4555
492,다이소 청주우암점,충청북도 청주시,043-225-0425
493,다이소 청주용암점,충청북도 청주시,043-291-5335
494,다이소 청주본점,충청북도 청주시,043-223-6016
495,다이소 옥천점,충청북도 옥천군,043-731-6016
496,다이소 청주하복대점,충청북도 청주시,043-233-1384
497,다이소,043-832-4902,
498,다이소 청주산남2호점,충청북도 청주시,043-283-6016
499,다이소 충주법원사거리점,충주시,
500,다이소내수점,청원구 내수읍 마산리 181-6번지 청주시 충청북도 KR,043-213-8385
501,다이소 청주신봉네거리점,충청북도 청주시,043-274-6016
502,다이소 GS슈퍼진천점,충청북도 진천군,
503,daiso,충청북도 청주시,043-238-6016
504,다이소 청주율량2지구점,충청북도 청주시,043-212-6016
505,다이소 청주가경점,충청북도 청주시,
506,다이소 제천청전점,충청북도 제천시,043-651-9696
507,다이소 홈플러스청주점,충청북도 청주시,043-231-6017
508,다이소 롯데마트충주점,충청북도 충주시,
509,다이소 청주분평점,서원구 분평동 1368번지 호인리더스 청주시 충청북도 KR,043-295-6016
510,다이소영동점,영동읍 계산리 664-8번지 영동군 충청북도 KR,043-745-6016
511,다이소 청주강서점,충청북도 청주시,043-233-6015
512,다이소 청주개신오거리점,충청북도 청주시,043-221-6016
513,다이소 제천점,충청북도 제천시,043-646-4318
514,다이소청주봉명점,흥덕구 봉명동 2760번지 청주시 충청북도 KR,043-263-7776
515,다이소 청주사창점,충청북도 청주시,043-272-6016
516,다이소 청주율량점,충청북도 청주시,043-214-8739
517,다이소 증평점,충청북도 증평군,043-836-6013
518,다이소 음성점,충청북도 음성군,043-873-3120
519,다이소 충남보령점,충청남도 보령시,041-935-6016
520,다이소 충남홍성본점,지금 영업 중,
521,다이소천안직산점,충청남도 천안시,041-588-4567
522,다이소 배방점,충청남도 아산시,
523,다이소 당진신평,충청남도 당진시,041-363-6017
524,다이소 천안불당2호점,충청남도 천안시,041-563-6016
525,다이소 아산음봉점,충청남도 아산시,041-534-2466
526,다이소 천안성거점,충청남도 천안시,041-568-2299
527,다이소 내포신도시점,충청남도 홍성군,041-634-6016
528,다이소 아산점,충청남도 아산시,041-534-6016
529,다이소 신방통정지구점,충청남도 천안시,041-578-2335
530,다이소 아산탕정점,충청남도 아산시,041-545-6016
531,다이소 당진본점,충청남도 당진시,041-357-6016
532,다이소 천안청수점,충청남도 천안시,041-561-6016
533,다이소순천향대점,충청남도 아산시,
534,다이소 아산모종점,충청남도 아산시,041-532-6018
535,다이소 쌍용사거리점,충청남도 천안시,041-578-6016
536,다이소,충청남도 논산시,041-742-3336
537,다이소 천안불당점,충청남도 천안시,041-522-6016
538,다이소 아산둔포점,충청남도 아산시,010-4410-5437
539,다이소 공주점,충청남도 공주시,041-852-6016
540,다이소,충청남도 천안시,041-587-7208
541,다이소천안주공5단지점,충청남도 천안시,041-572-7009
542,다이소 서산본점,충청남도 서산시,041-681-6017
543,다이소 천안본점,충청남도 천안시,
544,다이소 서산대산점,충청남도 서산시,041-665-6016
545,다이소 종암점,서울특별시 성북구,070-7565-3320
546,다이소 경동시장점,서울특별시 동대문구,
547,다이소장항점,041-956-0609,
548,다이소 천안병천점,충청남도 천안시,041-622-6016
549,다이소 롯데마트평택점,경기도 평택시,02-405-0800
550,다이소홍성점,충청남도 홍성군,041-631-6543
551,다이소 천안안서점,충청남도 천안시,041-565-7070
552,다이소 당진시곡점,충청남도 당진시,041-355-6016
553,다이소 서천안점,041-572-5453,
554,다이소 공주신관점,충청남도 공주시,
555,다이소,충청남도 태안군,041-675-2006
556,다이소 오창점,충청북도 청주시,043-213-6016
557,다이소 천안두정점,충청남도 천안시,041-551-2539
558,다이소 안성공도점,경기도 안성시,031-652-6017
559,다이소 전주혁신도시점,전라북도 전주시,063-226-7782
560,다이소 전북대점,전라북도 전주시,063-253-6016
561,다이소 에코시티점,전라북도 전주시,063-271-6016
562,다이소 전주하가점,전라북도 전주시,063-254-4545
563,다이소 전주본점,전라북도 전주시,063-287-6016
564,다이소 전주터미널점,전라북도 전주시,063-232-6016
565,다이소 군산중앙로점,전라북도 군산시,063-442-6016
566,다이소 전주동산점,전라북도 전주시,
567,다이소 전주인후2호점,전라북도 전주시,063-247-5005
568,다이소 익산배산점,전라북도 익산시,063-853-6016
569,다이소,063-857-6016,
570,다이소 전주송천1가점,전라북도 전주시,063-255-3778
571,다이소정읍점,전라북도 정읍시,063-533-6016
572,다이소 전주인후점,전라북도 전주시,063-244-6016
573,다이소전주호성점,덕진구 호성동1가 791-1번지 1동 109호 전주시 전라북도 KR,063-244-7575
574,다이소 전주효자점,전라북도 전주시,063-222-6018
575,다이소 전주평화점,전라북도 전주시,063-224-6012
576,다이소 익산영등점,063-831-6016,
577,다이소 전주서신2호점,전라북도 전주시,063-276-6019
578,다이소 모래내점,전라북도 전주시,
579,다이소 순창점,전라북도 순창군,063-653-9933
580,다이소 크리스마트전주점,전라북도 전주시,
581,다이소 원광대점,전라북도 익산시,063-853-6188
582,다이소완주봉동점,전라북도 완주군,063-262-4040
583,다이소전주우아점,전라북도 전주시,063-243-6016
584,다이소 전주평화사거리점,전라북도 전주시,063-225-6016
585,다이소남원광한루점,전라북도 남원시,063-626-8777
586,다이소,창인동1가 108-59번지 익산시 전라북도 KR,063-855-5688
587,다이소장수점,063-351-0888,
588,다이소 군산나운점,전라북도 군산시,063-465-6015
589,다이소,충청남도 논산시,041-742-3336
590,다이소 전주신시가지점,영업 중 ⋅ 오후 10:00에 영업 종료,
591,다이소부안점,063-583-7218,
592,다이소 전주모래내시장점,전라북도 전주시,063-271-4566
593,다이소 군산점,전라북도 군산시,063-463-6016
594,다이소 전주안골점,전라북도 전주시,063-242-4211
595,다이소 롯데슈퍼김제점,전라북도 김제시,
596,다이소장항점,041-956-0609,
597,다이소 남원도통점,063-634-6016,
598,다이소 하나로마트전주점,전라북도 전주시,063-210-4591
599,다이소 롯데마트익산점,전라북도 익산시,063-831-2500
600,다이소,충청남도 서천군,
601,드림디포고창점,전라북도 고창군,063-564-1462
602,다이소 서천점,충청남도 서천군,041-951-5590
603,다이소영광점,061-351-4568,
604,양키캔들전주서신점,063-276-4006,
605,다이소 공주점,충청남도 공주시,041-852-6016
606,다이소 롯데슈퍼정읍점,전라북도 정읍시,063-536-9981
607,다이소담양점,061-381-8999,
608,다이소 광주쌍암점,광주광역시 광산구,
609,다이소 광주호남대점,광주광역시 광산구,062-944-6016
610,다이소진주초전점,경상남도 진주시,055-752-0121
611,다이소삼호점,061-461-1041,
612,다이소,전라남도 무안군,061-453-3994
613,다이소 강진점,061-433-8057,
614,다이소 영암점,전라남도 영암군,061-473-2200
615,다이소진도점,전라남도 진도군,061-543-5533
616,다이소영광점,061-351-4568,
617,다이소 남평점,전라남도 나주시,061-334-2459
618,다이소 여수여서점,061-652-6005,
619,다이소 동광양점,전라남도 광양시,061-794-6016
620,다이소 순천신대점,전라남도 순천시,061-722-2022
621,다이소담양점,061-381-8999,
622,다이소 순천대점,전라남도 순천시,061-753-2255
623,다이소 해남중앙점,전라남도 해남군,061-535-6634
624,다이소 보성점,전라남도 보성군,061-852-4977
625,다이소,선원동 1268-2번지 2층 여수시 전라남도 KR,
626,다이소,061-725-0504,
627,다이소 광주쌍암점,광주광역시 광산구,
628,다이소 여수웅천점,전라남도 여수시,
629,다이소 광주비엔날레점,광주광역시 북구,062-529-6243
630,다이소 장흥점,전라남도 장흥군,061-864-5057
631,다이소 광주봉선2호점,광주광역시 남구,062-651-6016
632,다이소 화순점,전라남도 화순군,061-375-7222
633,다이소 광주호남대점,광주광역시 광산구,062-944-6016
634,다이소광주진월점,062-652-0866,
635,다이소 곡성점,전라남도 곡성군,061-362-9559
636,다이소 광주평동점,광주광역시 광산구,062-946-1212
637,다이소 광주첨단점,광주광역시 광산구,062-972-6016
638,다이소 광주월곡점,광주광역시 광산구,062-961-0091
639,다이소여수신기점,061-682-5005,
640,다이소 여수서시장점,전라남도 여수시,061-642-6016
641,다이소 여수종화점,전라남도 여수시,061-665-1011
642,다이소,전라남도 나주시,
643,다이소 목포하당점,061-282-6018,
644,다이소 순천서면점,전라남도 순천시,061-753-0080
645,다이소 광주말바우시장점,광주광역시 북구,062-261-6019
646,다이소 목포광장점,전라남도 목포시,061-277-6018
647,다이소정읍점,전라북도 정읍시,063-533-6016
648,다이소 전주본점,전라북도 전주시,063-287-6016
649,다이소 광주수완점,광주광역시 광산구,062-953-6017
650,다이소 여수교동점,전라남도 여수시,061-662-6012
651,다이소 광주금호점,광주광역시 서구,062-655-6016
652,다이소 전주평화사거리점,전라북도 전주시,063-225-6016
653,다이소 순천점,전라남도 순천시,061-723-0878
654,다이소 광주매곡점,광주광역시 북구,
655,Daiso,전라남도 여수시,061-686-6016
656,다이소 북항점,전라남도 목포시,061-980-9597
657,다이소 파머스본점,전라남도 순천시,
658,다이소 여수미평점,전라남도 여수시,061-654-6067
659,다이소 상무점,광주광역시 서구,
660,다이소 함평점,전라남도 함평군,061-324-4141
661,다이소,전라남도 완도군,
662,다이소 순창점,전라북도 순창군,063-653-9933
663,다이소 홈플러스광양점,전라남도 광양시,061-791-6016
664,다이소 광주운남삼거리점,광주광역시 광산구,062-956-6017
665,다이소 롯데슈퍼풍암점,광주광역시 서구,062-652-5601
666,다이소,영업 중 ⋅ 오후 10:00에 영업 종료,
667,다이소목포용해점,061-278-0003,
668,Daiso,전라남도 나주시,061-333-5222
669,다이소 고흥점,전라남도 고흥군,061-835-0588
670,다이소 광주일곡점,광주광역시 북구,062-576-6015
671,다이소,전라남도 해남군,061-537-3378
672,다이소 크리스마트전주점,전라북도 전주시,
673,Daiso,영업 중 ⋅ 오후 10:00에 영업 종료,
674,다이소 전주효자점,전라북도 전주시,063-222-6018
675,ダイソー,영업 중 ⋅ 오후 10:00에 영업 종료,
676,다이소 목포2호점,전라남도 목포시,061-242-6011
677,다이소 전주신시가지점,영업 중 ⋅ 오후 10:00에 영업 종료,
678,다이소 롯데슈퍼김제점,전라북도 김제시,
679,다이소,055-864-4396,
680,Daiso,광주광역시 동구,062-222-6016
681,Daiso,061-763-6789,
682,LG유플러스 학동_다이소점,전라남도 여수시,070-4045-9019
683,롯데슈퍼 무안점,전라남도 무안군,061-454-9400
684,다이소 경북도청신도시,경상북도 예천군,054-652-6016
685,다이소 경북고령점,경상북도 고령군,054-954-8837
686,다이소 경북청도점,경상북도 청도군,054-371-6018
687,다이소경북울진점,울진읍 읍내리 515-2번지 울진군 경상북도 KR,054-781-6016
688,다이소 김천혁신도시점,경상북도 김천시,054-430-6709
689,다이소,매장 내 쇼핑,
690,다이소 구미오태북삼점,경상북도 구미시,054-461-6016
691,다이소 구미봉곡본점,경상북도 구미시,054-456-6016
692,다이소 예천점,경상북도 예천군,054-653-8989
693,다이소 김천시청점,경상북도 김천시,054-435-6016
694,다이소 경산사동점,경상북도 경산시,053-818-6016
695,다이소 문경모전점,경상북도 문경시,054-554-6016
696,다이소 영주본점,영업 중 ⋅ 오후 9:30에 영업 종료,
697,다이소 칠곡왜관점,경상북도 칠곡군,054-972-6016
698,다이소 상주서문사거리,경상북도 상주시,054-534-6016
699,다이소 구미형곡네거리점,경상북도 구미시,054-441-6016
700,다이소 구미중앙시장점,경상북도 구미시,054-442-6016
701,다이소 구미비산점,경상북도 구미시,054-464-9988
702,다이소 경산영남대점,경상북도 경산시,053-813-6015
703,다이소 영천시청점,경상북도 영천시,
704,다이소 구미확장지구점,경상북도 구미시,054-471-6018
705,다이소 옥산점,경상북도 경산시,053-812-6017
706,다이소 대구세천지구점,대구광역시 달성군,053-585-1581
707,다이소 대구죽곡점,대구광역시 달성군,053-587-6016
708,다이소 구미옥계점,경상북도 구미시,054-474-6016
709,다이소 안동용상점,경상북도 안동시,054-822-6019
710,다이소 영덕강구점,경상북도 영덕군,054-732-6003
711,다이소봉곡점,경상북도 구미시,054-455-0425
712,다이소 대구칠곡네거리점,대구광역시 북구,053-314-6010
713,다이소 경산시장점,경상북도 경산시,053-815-6016
714,다이소 구미원호점,고아읍 원호리 445-3번지 1층 1호 필지 구미시 경상북도 KR,054-452-1909
715,다이소포항오천점,경상북도 포항시,054-292-1559
716,다이소영덕점,경상북도 영덕군,054-733-2600
717,다이소 의성점,경상북도 의성군,054-833-1156
718,다이소 구미인동점,경상북도 구미시,054-472-4973
719,다이소 구미인의점,경상북도 구미시,054-473-6016
720,다이소 대구논공점,대구광역시 달성군,053-615-0177
721,다이소 칠곡중리2호점,경상북도 칠곡군,054-977-6016
722,다이소 구미상모사곡점,경상북도 구미시,054-461-9929
723,다이소 포항두호점,경상북도 포항시,
724,다이소 대구대곡지구점,대구광역시 달서구,053-641-6016
725,다이소청송진보점,경상북도 청송군,054-872-6016
726,다이소 구미신평점,경상북도 구미시,054-461-6016
727,다이소 대구칠곡2지구점,대구광역시 북구,053-312-0102
728,다이소 대구진천점,영업 중 ⋅ 오후 10:00에 영업 종료,
729,다이소대구태전역점,대구광역시 북구,053-313-6016
730,다이소신대부적점,053-816-6016,
731,다이소 구미구평점,경상북도 구미시,054-471-6016
732,다이소 안동신시장점,경상북도 안동시,054-854-0029
733,Daiso,경상북도 성주군,054-933-7957
734,다이소 대구테크노폴리스점,대구광역시 달성군,053-611-6016
735,다이소 대구율하점,053-965-6016,
736,다이소 대구유가점,대구광역시 달성군,053-614-6017
737,다이소 안동 옥동점,영업 중 ⋅ 오후 10:00에 영업 종료,
738,다이소 영주가흥점,경상북도 영주시,054-635-5885
739,다이소 경산하양점,경상북도 경산시,053-851-6016
740,다이소 영주남부육거리점,경상북도 영주시,054-632-6017
741,다이소 대구신월성점,대구광역시 달서구,053-638-6016
742,다이소 충효점,경상북도 경주시,
743,다이소 영주점,054-633-7772,
744,다이소 경남 고성점,경상남도 고성군,055-674-7880
745,다이소 창원상남2호점,경상남도,055-267-6016
746,다이소 경남의령점,경상남도 의령군,055-574-7474
747,다이소 창원봉곡점,경상남도,055-276-6016
748,다이소 양산서창점,경남 양산시 삼호동(블) 10-6,055-362-6016
749,다이소 통영죽림점,경상남도 통영시,055-641-1412
750,다이소 - 마산어시장점,경상남도 창원시,055-244-6016
751,다이소 - 창원해운점,경상남도,055-245-7776
752,다이소 창원양덕점,영업 중 ⋅ 오후 10:00에 영업 종료,
753,다이소양산평산점,경상남도 양산시,055-384-8688
754,다이소사천평화점,055-853-9931,
755,다이소 창원상남본점,055-266-6016,
756,다이소 밀양점,영업 중 ⋅ 오후 10:00에 영업 종료,
757,다이소,055-864-4396,
758,다이소 - 창원용원점,경상남도 창원시,055-551-8089
759,다이소 마산내서점,경상남도,055-232-6014
760,다이소 - 김해진영2호점,영업 중 ⋅ 오후 10:00에 영업 종료,
761,다이소 - 창원동읍점,경상남도,
762,다이소 창원무동점,경상남도,055-252-9700
763,다이소 진주혁신도시점,진주시,055-761-6016
764,다이소 창원합성점,경상남도,
765,다이소 합천점,합천군,
766,다이소 - 창원장천점,경상남도,
767,다이소함양용평점,055-964-8776,
768,다이소 - 창원남문점,경상남도,055-551-0014
769,다이소창원감계2호점,경상남도,055-296-1956
770,다이소 함안칠원점,경상남도 함안군,
771,다이소 진주도동점,경상남도 진주시,070-8199-6995
772,다이소,경상남도 고성군,
773,다이소,경상남도 진주시,055-746-6016
774,다이소 GS마트삼계점,055-719-5200,
775,다이소경남산청점,경상남도 산청군,055-974-0254
776,다이소진주초전점,경상남도 진주시,055-752-0121
777,다이소 진주대안점,경상남도 진주시,
778,다이소 탑마트뉴창원점,경상남도,
779,다이소 고성성내점,경상남도 고성군,
780,다이소 김해삼계2호점,경상남도 김해시,055-311-6018
781,다이소 롯데마트통영점,경상남도 통영시,055-644-6050
782,다이소 김해율하2호점,경상남도 김해시,
783,다이소 창원석전점,경상남도,
784,다이소 양산증산점,경상남도 양산시,055-364-6016
785,다이소 경북고령점,경상북도 고령군,054-954-8837
786,다이소 GS슈퍼평거점,경상남도 진주시,
787,다이소 삼천포점,경상남도 사천시,055-833-9696
788,다이소 김해삼문점,경상남도 김해시,02-5338-2288
789,다이소 양산남부시장점,경상남도 양산시,055-381-6016
790,다이소 김해본점,경상남도 김해시,055-332-6016
791,다이소 김해대청점,경상남도 김해시,050-71425-6017
792,다이소,영업 중 ⋅ 오후 10:00에 영업 종료,
793,다이소 GS슈퍼마산점,경상남도,
794,다이소 대구테크노폴리스점,대구광역시 달성군,053-611-6016
795,다이소 진주가좌점,경상남도 진주시,055-762-2535
796,다이소 김해인제대점,경상남도 김해시,055-323-3136
797,(주)아성다이소_거제장평점,경상남도 거제시,055-632-8338
798,다이소 부산명지오션시티점,부산광역시 강서구,
799,아성다이소 거제중곡점,경상남도 거제시,055-637-2007
800,다이소 창원반송시장점,경상남도,055-261-6016
801,다이소 진주평거점,경상남도 진주시,055-744-6017
802,다이소 탑마트밀양삼문점,경상남도 밀양시,055-3535-2220
803,다이소 양산터미널점,영업 중 ⋅ 오후 10:00에 영업 종료,
804,다이소 대구유가점,대구광역시 달성군,053-614-6017
805,다이소 롯데마트진해점,경상남도,055-1522-4400
806,다이소 거창대동점,경상남도 거창군,055-943-6016
807,다이소 명지국제신도시점,부산광역시 강서구,051-207-6016
808,다이소 거제옥포2호점,경상남도 거제시,
809,다이소 탑마트진주점,경상남도 진주시,1522-4400
810,다이소 양산석산점,경상남도 양산시,055-383-3399
811,다이소 부산모라점,부산광역시 사상구,
812,Daiso,경상남도 거제시,
813,다이소 진주주약점,경상남도 진주시,055-753-1535
814,다이소 대구논공점,대구광역시 달성군,053-615-0177
815,다이소 구포구남점,부산광역시 북구,051-333-6016
816,다이소진주초장점,초전동 925-1번지 101호 진주시 경상남도 KR,055-758-0056
817,다이소 대구죽곡점,대구광역시 달성군,053-587-6016
818,다이소 대구세천지구점,대구광역시 달성군,053-585-1581
819,미샤 경남창녕점,경상남도 창녕군,055-533-7573
820,다이소 경산사동점,경상북도 경산시,053-818-6016
821,다이소 경산시장점,경상북도 경산시,053-815-6016
822,다이소 대구서재점,대구광역시 달성군,
823,다이소 대구신당점,대구광역시 달서구,053-583-6015
824,다이소 대구동성로본점,동성로 48-1,053-422-6016
825,다이소 대구서부점,성당동 216 1번지,053-621-6016
826,다이소 대구신당점,계대동문로 23-1,053-583-6015
827,다이소 대구내당중앙점,대구광역시 서구,053-563-8232
828,다이소 대구대현점,신암동 1181-5,053-944-6016
829,다이소 대구방촌시장점,방촌동 907-9번지,053-984-6016
830,다이소 대구내당점,평리로 250,053-566-6016
831,다이소 대구칠곡네거리점,태전동 940-6,053-314-6010
832,다이소 대구명덕네거리점,대명동 1791-1,053-625-6016
833,다이소 대구이시아폴리스점,팔공로 51 길 21-1,053-985-1127
834,다이소 대구신월성점,월성동 598-10,053-638-6016
835,다이소 대구수성구청역점,범어동 221-4,053-751-6016
836,다이소 대구중앙로점,남일동 135-1,053-252-6016
837,다이소 대구반야월점,안심3.4동 351-1,053-965-6015
838,다이소 대구죽전네거리점,죽전동 273-24,053-571-6016
839,다이소 대구신남역점,남산2동 100-1,053-256-6016
840,다이소 대구대곡지구점,도원동 1433-4,053-641-6016
841,다이소 대구수성시장네거리점,수성동3가 336-5,053-767-6105
842,다이소 대구복현점,053-939-6017,
843,다이소대구태전역점,태전동 532-6,053-313-6016
844,다이소 대구월촌점,송현동 1951-4,053-657-6050
845,다이소 대구논공점,논공읍 북리 824-3,053-615-0177
846,다이소 성서이곡점,이곡공원로,
847,다이소 대구효신네거리점,만촌1동 1326-34,053-742-6066
848,다이소 대구율하점,053-965-6016,
849,다이소 대구테크노폴리스점,유가면 상리,053-611-6016
850,다이소 대구칠성점,칠성동2가 중앙대로 528,
851,다이소 대구세천지구점,대구광역시 달성군,053-585-1581
852,다이소 대구상인네거리점,상인동 월배로 219,053-639-6016
853,다이소 대구들안길네거리점,청수로 81,053-763-6016
854,다이소 대구앞산순환로점,대명9동 474-63,
855,다이소 대구본리점,감삼동 343,053-522-6016
856,다이소 대구동서변점,서변동 1783-6,053-939-2389
857,다이소 대구팔달시장역점,비산5동,053-352-6016
858,다이소 대구진천점,영업 중 ⋅ 오후 10:00에 영업 종료,
859,다이소 대구칠곡2지구점,구암로 138,053-312-0102
860,다이소,구암동 769-1번지 1층,
861,다이소 대구서재점,다사읍 서재로 110,
862,다이소 대구시지2호점,고산2동 314-3,
863,다이소대구안지랑점,053-657-6502,
864,다이소 부산연산본점,과정로 356,
865,다이소 부산연제점,연수로 110,051-866-6016
866,다이소 부산서면1호점,중앙대로702번길 43 b1f,051-817-6016
867,다이소 부산서면2호점,중앙대로 693,051-802-6016
868,다이소 부산종합운동장점,아시아드대로 81,051-503-6016
869,다이소 부산양정점,중앙대로 904,051-864-6016
870,다이소 부산연산교차로점,중앙대로 1119,
871,다이소 부산용호점,용호동 용호로 133,051-612-6016
872,다이소 부산서대신점,서대신제1동 구덕로321번길 15,
873,다이소 남포점,구덕로 46,051-231-6016
874,다이소 부산개금점,가야대로 477,
875,다이소 부산수정점,수정동 231-12,051-462-3330
876,다이소 부산덕천점,백양대로 1200,051-332-6016
877,다이소 부산수영점,연수로 411,051-759-6016
878,다이소 부산재송점,재반로 176,051-784-2270
879,다이소 부산해운대점,구남로 11,051-747-6037
880,다이소 부산해운대장산본점,해운대로 785,051-703-6015
881,다이소 서면지하상가중앙몰점,부전제2동 가야대로 772 서면지하상가중앙몰 B1F,051-816-6016
882,다이소 부산동래역점,온천동 중앙대로 1295,051-507-6016
883,다이소 부산반여본점,선수촌로 136,051-525-6016
884,다이소 부산센텀시티점,센텀5로 55 센텀큐빌딩 2F,
885,다이소 부산구서점,구서로 8,051-513-6016
886,다이소 부산남산외대점,중앙대로 2021-5,051-516-5511
887,다이소 부산서부터미널점,사상로 201,051-315-0616
888,다이소 부산온천시장점,금강공원로20번길 93,
889,다이소 부산당감점,동평로116번길 6,
890,다이소 초량점,초량상로 91 삼보빌딩,
891,다이소 부산다대포점,부산광역시 사하구,051-265-6016
892,다이소 부산명지오션시티점,명지동 3240-2,
893,다이소 부산대점,장전온천천로 55,051-582-6016
894,다이소 부산정관점,부산광역시 기장군,051-727-6018
895,다이소 용호1호점,용호동 395-2,051-611-8613
896,다이소 부산학장점,학감대로 111,051-328-1088
897,다이소 부산안락교차로점,충렬대로 355,051-526-6016
898,다이소 부산문현점,수영로 45,
899,다이소 부산하단2호점,낙동남로1389번길 1,051-203-6018
900,다이소 부산학장동점,051-312-1500,
901,다이소 부산모라점,모라동 424-3,
902,다이소 국제시장점,부평동1가 45-9,051-241-6016
903,다이소 영도대교점,부산광역시 영도구,051-413-6016
904,다이소 부산구포점,구포동 1226-2,
905,다이소 부산화명점,051-362-6017,
906,다이소 부산지사동점,과학산단2로20번길 2,050-71480-0333
907,다이소 부산괴정점,낙동대로 229,051-206-6016
908,다이소 부산화명2호점,영업 중 ⋅ 오후 10:00에 영업 종료,
909,다이소 기장본점,기장읍 차성동로 63,051-724-6016
910,다이소 부산반여점,반여동 1291-667,
911,다이소 부산감천점,오작로8번길 78,
912,다이소장림점,장림동 316-20,051-265-3456
913,다이소 구포구남점,구포제2동 백양대로 1041,051-333-6016
914,다이소 부산만덕점,만덕동 덕천로 275,051-337-6016
915,다이소 롯데슈퍼부산용호점,분포로 145 b1,051-624-6016
916,다이소부산백양점,백양관문로 20,051-897-7678
917,다이소 메가마트동래점,명륜동,
918,다이소,동삼동 361-1,
919,다이소,다대동 649,
920,다이소 부산녹산공단점,송정동 1631-7,051-256-8888
921,다이소 부산대연점,수영로 184,051-631-6016
922,다이소 명지국제신도시점,명지동 1676,051-207-6016
923,다이소,만덕제2동 799,
924,다이소 제주삼화점,화북이동 168-1,064-721-6016
925,다이소 제주본점,건입동 46-1,064-723-6016
926,다이소 제주시청점,이도이동 1176-84,064-724-6016
927,다이소 제주일도점,일도이동 고마로 115,064-722-6016
928,다이소 제주노형점,노형동 1100로 3325,064-742-6016
929,다이소 제주연동점,064-712-6016,
930,다이소 제주도남점,도남동 411-6,064-756-6016
931,Daiso,관덕로 68,
932,Daiso,영업 중 ⋅ 오후 10:00에 영업 종료,
933,다이소제주외도점,영업 중 ⋅ 오후 10:00에 영업 종료,
934,다이소 제주하귀점,애월읍 하귀1리 1552-6,
935,다이소 용담해안도로점,용담삼동 서해안로 510,
936,다이소 제주애월점,애월읍 애월리 1377-2,064-799-6016
937,다이소 제주세화점,구좌읍 일주동로 3126,064-751-0007
938,다이소제주한림점,한림읍 한림리 936-3,064-796-7889
939,다이소 제주성산점,제주특별자치도 서귀포시,
940,다이소 제주모슬포점,제주특별자치도 서귀포시,064-794-2275
941,다이소 서귀포점,제주특별자치도 서귀포시,064-763-1331
942,다이소 서귀포동광점,제주특별자치도 서귀포시,064-792-7748
943,다이소 중문점,제주특별자치도 서귀포시,064-739-6016
